issue_id,stock_code,company_short,source,issue_type,status,detail,week7_action
W7-QA-001,301563,云汉芯城,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-002,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-003,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-004,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-005,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-006,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-007,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-008,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-009,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-010,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-011,688758,赛分科技,cross_check,subscription_price,INFO,PDF未直接披露单价,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-012,301581,黄山谷捷,cross_check,snapshot_ratio_sum,REVIEW,t0/报告期初: 无可求和比例,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-013,301581,黄山谷捷,cross_check,snapshot_ratio_sum,REVIEW,吸收合并后: 无可求和比例,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-014,301581,黄山谷捷,cross_check,snapshot_ratio_sum,REVIEW,第一次增资后: 无可求和比例,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-015,301581,黄山谷捷,cross_check,snapshot_ratio_sum,REVIEW,第二次增资后: 无可求和比例,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-016,301581,黄山谷捷,cross_check,snapshot_ratio_sum,REVIEW,整体变更为股份公司后: 无可求和比例,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W7-QA-017,688758,赛分科技,cross_check,snapshot_ratio_sum,REVIEW,t0/报告期初: 持股比例合计=670.6317%,INFO保留说明；REVIEW进入PDF人工复核，不自动补值
W6-001,,样本范围,intra_group_review,组内互查差异,已修正,上一版使用天和磁材、大鹏工业替代统一样本,本版改为统一8家公司，补入三联锻造和星图测控，manifest中不再出现603072/920091。
W6-002,,三联锻造,intra_group_review,组内互查差异,已修正,有限公司阶段部分记录只有注册资本/出资额，没有股份数和单价,认缴表保留出资金额，股份数和单价留空，不写0；快照表以注册资本口径核对。
W6-003,,星图测控,intra_group_review,组内互查差异,已修正,同一段代持解除文本包含两条转让，Auto只识别出一条,Final手工拆为罗永红->牛威、王金林->吴功友两条，并记录source_auto_record_id。
W6-004,,三协电机/星图测控,intra_group_review,组内互查差异,已记录,定向发行材料中出现“公开转让系统”，Auto误认为股权转让候选,不进入Final转让表，只保留在review_queue和差异记录中作为失败案例。
W6-005,,云汉芯城/影石创新/赛分科技,intra_group_review,组内互查差异,已记录,多轮融资与历史沿革表格密集，Auto候选多但转让主体不总是可直接解析,认缴表和快照表保留完整；转让表只保留可确认事件，其他进入复核队列。
W6-006,,赛分科技,intra_group_review,组内互查差异,已记录,部分记录的股份数单位疑似为股而非万股，直接用金额/股份数会得到0.01元/股等异常价格。,Auto flags标记单位异常；融资报告均价剔除不合理计算价，保留原始证据等待人工复核。
