queue_id,priority,stock_code,company_short,company_name,board,exchange,source_group,source_platform,source_url,local_pdf_path,local_text_path,page_count,file_size_mb,keyword_hit_count,keyword_hit_summary,week12_action,expected_output,missing_policy
W12Q001,P0-前期基线继续核验,301563,云汉芯城（上海）互联网科技股份有限公司,云汉芯城（上海）互联网科技股份有限公司,创业板,SZSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-9/2025-09-25/11479032.PDF,,team-star/outputs/week1_parsed_texts/GEM002_301563.txt,443,,351,创业投资:45；私募:133；增资:22；股权转让:12；备案:139,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q002,P0-前期基线继续核验,301581,黄山谷捷股份有限公司,黄山谷捷股份有限公司,创业板,SZSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-19/10657969.PDF,,team-star/outputs/week1_parsed_texts/GEM001_301581.txt,343,,106,创业投资:2；私募:8；增资:60；股权转让:22；备案:14,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q003,P0-前期基线继续核验,603072,包头天和磁材科技股份有限公司,包头天和磁材科技股份有限公司,主板,SSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-26/10671447.PDF,,team-star/outputs/week1_parsed_texts/MB001_603072.txt,564,,151,创业投资:6；私募:2；增资:77；股权转让:21；备案:45,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q004,P0-前期基线继续核验,603418,上海友升铝业股份有限公司,上海友升铝业股份有限公司,主板,SSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-9/2025-09-18/11465918.PDF,,team-star/outputs/week1_parsed_texts/MB002_603418.txt,398,,147,创业投资:57；私募:31；增资:20；股权转让:8；备案:31,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q005,P0-前期基线继续核验,688758,苏州赛分科技股份有限公司,苏州赛分科技股份有限公司,科创板,SSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-1/2025-01-06/10694381.PDF,,team-star/outputs/week1_parsed_texts/STAR001_688758.txt,468,,149,创业投资:13；私募:11；增资:31；股权转让:16；备案:78,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q006,P0-前期基线继续核验,688775,影石创新科技股份有限公司,影石创新科技股份有限公司,科创板,SSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-6/2025-06-06/11164575.PDF,,team-star/outputs/week1_parsed_texts/STAR002_688775.txt,555,,181,创业投资:53；私募:45；增资:10；股权转让:20；备案:53,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q007,P0-前期基线继续核验,920091,哈尔滨岛田大鹏工业股份有限公司,哈尔滨岛田大鹏工业股份有限公司,北交所,BSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSEBJ_STOCK/2025/2025-11/2025-11-03/11582676.PDF,,team-star/outputs/week1_parsed_texts/BSE002_920091.txt,391,,36,创业投资:2；增资:3；股权转让:20；备案:11,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q008,P0-前期基线继续核验,920100,常州三协电机股份有限公司,常州三协电机股份有限公司,北交所,BSE,week1_public_baseline,新浪财经公告库,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSEBJ_STOCK/2025/2025-8/2025-08-22/11341298.PDF,,team-star/outputs/week1_parsed_texts/BSE001_920100.txt,382,,96,创业投资:23；私募:6；增资:8；股权转让:34；备案:25,沿用第十一周研究面板，集中补AMAC/GP/LP来源和数据库长期表。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q009,P1-北交所优先扩样,920950,迅安科技,迅安科技,北交所,BSE,bse_week3_extended_text,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2022/2022-12-22/1671694441_779022.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE001_920950.txt,180,,26,创业投资:3；私募:7；备案:16,已有页码化文本，先跑章节定位和Markdown表格抽取，再做人工抽样核对。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
W12Q010,P1-北交所优先扩样,920249,利尔达,利尔达,北交所,BSE,bse_week3_extended_text,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2023/2023-01-30/1675066930_267828.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE002_920249.txt,180,,34,创业投资:4；增资:16；股权转让:12；备案:2,已有页码化文本，先跑章节定位和Markdown表格抽取，再做人工抽样核对。,Auto表、Gold/Final核验记录、Cross-check结果、来源字段矩阵,PDF/Markdown未披露字段保留空值，并记录未披露原因。
